Слово,Количество,Частота(%)
As,237,0.0403837
part,236,0.0402133
M,236,0.0402133
between,233,0.0397021
word,233,0.0397021
mother,232,0.0395317
soon,232,0.0395317
saying,232,0.0395317
things,229,0.0390205
thing,229,0.0390205
letter,229,0.0390205
officers,228,0.0388501
sent,226,0.0385093
table,225,0.0383389
night,224,0.0381685
regiment,223,0.0379981
rode,223,0.0379981
l,223,0.0379981
along,223,0.0379981
found,222,0.0378277
against,222,0.0378277
Anatole,222,0.0378277
many,220,0.0374869
entered,220,0.0374869
question,219,0.0373165
sitting,218,0.0371462
mind,216,0.0368054
moved,216,0.0368054
evening,215,0.036635
continued,214,0.0364646
morning,214,0.0364646
whether,212,0.0361238
crowd,211,0.0359534
brought,211,0.0359534
wounded,210,0.035783
drawing,210,0.035783
cried,210,0.035783
added,210,0.035783
de,209,0.0356126
speak,207,0.0352718
received,205,0.034931
road,204,0.0347606
themselves,203,0.0345902
power,202,0.0344198
does,202,0.0344198
soldier,201,0.0342494
taking,201,0.0342494
After,201,0.0342494
got,200,0.034079
near,200,0.034079
white,199,0.0339086
days,198,0.0337382
understood,198,0.0337382
everyone,198,0.0337382
One,196,0.0333975
leave,195,0.0332271
orders,195,0.0332271
action,195,0.0332271
lay,194,0.0330567
among,194,0.0330567
woman,193,0.0328863
stopped,193,0.0328863
fellow,192,0.0327159
ask,192,0.0327159
fire,191,0.0325455
passed,191,0.0325455
happy,191,0.0325455
anyone,191,0.0325455
Bolk,190,0.0323751
Then,190,0.0323751
tried,189,0.0322047
rose,189,0.0322047
wished,189,0.0322047
talking,188,0.0320343
wish,187,0.0318639
movement,187,0.0318639
death,186,0.0316935
end,184,0.0313527
friend,183,0.0311823
wanted,182,0.0310119
re,182,0.0310119
small,181,0.0308415
arm,180,0.0306711
So,180,0.0306711
remained,180,0.0306711
given,180,0.0306711
noticed,179,0.0305007
ne,179,0.0305007
really,178,0.0303303
heart,178,0.0303303
turning,177,0.0301599
longer,176,0.0299896
arms,176,0.0299896
impossible,175,0.0298192
past,175,0.0298192
Ah,175,0.0298192
Now,175,0.0298192
T,173,0.0294784
Russia,173,0.0294784
far,173,0.0294784
matter,173,0.0294784
possible,172,0.029308
beside,172,0.029308
dinner,171,0.0291376
thousand,171,0.0291376
V,171,0.0291376
large,170,0.0289672
few,170,0.0289672
became,170,0.0289672
nor,169,0.0287968
news,169,0.0287968
vs,169,0.0287968
during,169,0.0287968
home,168,0.0286264
forward,168,0.0286264
spoke,168,0.0286264
H,168,0.0286264
happened,168,0.0286264
cannot,168,0.0286264
till,167,0.028456
world,167,0.028456
full,166,0.0282856
conversation,166,0.0282856
From,165,0.0281152
work,165,0.0281152
set,164,0.0279448
around,164,0.0279448
silent,164,0.0279448
each,164,0.0279448
ready,163,0.0277744
find,162,0.027604
since,162,0.027604
trying,161,0.0274336
else,161,0.0274336
ve,161,0.0274336
itself,160,0.0272632
adjutant,160,0.0272632
sound,160,0.0272632
better,160,0.0272632
tears,160,0.0272632
faces,159,0.0270928
gone,158,0.0269224
hair,158,0.0269224
met,157,0.026752
Bagrati,156,0.0265817
free,155,0.0264113
standing,155,0.0264113
husband,155,0.0264113
soul,154,0.0262409
coming,154,0.0262409
times,154,0.0262409
seeing,154,0.0262409
daughter,154,0.0262409
fact,154,0.0262409
answered,153,0.0260705
honor,153,0.0260705
half,153,0.0260705
glanced,153,0.0260705
strange,153,0.0260705
light,152,0.0259001
history,152,0.0259001
vlovna,152,0.0259001
speaking,152,0.0259001
won,151,0.0257297
kept,150,0.0255593
smiled,150,0.0255593
almost,150,0.0255593
terrible,150,0.0255593
myself,148,0.0252185
cause,148,0.0252185
yes,148,0.0252185
brother,147,0.0250481
known,147,0.0250481
tone,147,0.0250481
Russians,146,0.0248777
women,146,0.0248777
several,146,0.0248777
repeated,146,0.0248777
different,146,0.0248777
village,146,0.0248777
reached,146,0.0248777
reply,146,0.0248777
returned,145,0.0247073
next,145,0.0247073
smiling,144,0.0245369
family,144,0.0245369
afraid,144,0.0245369
voices,143,0.0243665
answer,143,0.0243665
ever,143,0.0243665
less,143,0.0243665
Mademoiselle,142,0.0241961
held,142,0.0241961
doing,141,0.0240257
kind,141,0.0240257
doctor,140,0.0238553
lost,140,0.0238553
tych,139,0.0236849
hear,139,0.0236849
together,139,0.0236849
For,139,0.0236849
Alexander,139,0.0236849
help,139,0.0236849
quickly,138,0.0235145
With,138,0.0235145
necessary,137,0.0233441
cold,137,0.0233441
certain,137,0.0233441
Only,137,0.0233441
above,137,0.0233441
especially,137,0.0233441
Alp,137,0.0233441
force,136,0.0231737
steps,136,0.0231737
listened,136,0.0231737
boy,136,0.0231737
used,135,0.0230034
red,135,0.0230034
law,135,0.0230034
followed,135,0.0230034
state,135,0.0230034
sides,135,0.0230034
self,135,0.0230034
Mikh,134,0.022833
air,134,0.022833
often,133,0.0226626
twenty,133,0.0226626
important,131,0.0223218
feel,131,0.0223218
Dm,131,0.0223218
merely,131,0.0223218
field,131,0.0223218
black,131,0.0223218
ylovna,131,0.0223218
My,130,0.0221514
later,130,0.0221514
staff,130,0.0221514
m,130,0.0221514
Bourienne,130,0.0221514
ev,129,0.021981
waiting,129,0.021981
command,129,0.021981
money,129,0.021981
girl,129,0.021981
happiness,129,0.021981
society,128,0.0218106
best,128,0.0218106
read,128,0.0218106
service,128,0.0218106
bridge,127,0.0216402
Do,126,0.0214698
third,126,0.0214698
Rostopch,126,0.0214698
excellency,126,0.0214698
high,125,0.0212994
Don,125,0.0212994
glad,125,0.0212994
present,125,0.0212994
someone,125,0.0212994
immediately,125,0.0212994
course,124,0.021129
pleasure,124,0.021129
reason,124,0.021129
grew,124,0.021129
fell,124,0.021129
appeared,123,0.0209586
nsk,123,0.0209586
camp,123,0.0209586
smoke,123,0.0209586
killed,123,0.0209586
hundred,122,0.0207882
become,122,0.0207882
presence,121,0.0206178
either,121,0.0206178
contrary,121,0.0206178
thinking,121,0.0206178
coat,120,0.0204474
loved,120,0.0204474
events,120,0.0204474
bad,120,0.0204474
former,120,0.0204474
open,120,0.0204474
Countess,120,0.0204474
says,120,0.0204474
usual,120,0.0204474
town,120,0.0204474
holding,119,0.020277
kissed,119,0.020277
strength,119,0.020277
affairs,119,0.020277
years,119,0.020277
line,119,0.020277
clear,119,0.020277
historians,119,0.020277
name,118,0.0201066
expressed,118,0.0201066
true,118,0.0201066
bed,118,0.0201066
peasants,118,0.0201066
moving,117,0.0199362
frightened,117,0.0199362
yourself,117,0.0199362
children,117,0.0199362
pale,117,0.0199362
short,117,0.0199362
opened,116,0.0197658
prisoners,116,0.0197658
second,116,0.0197658
attention,116,0.0197658
believe,116,0.0197658
gin,115,0.0195954
thoughts,115,0.0195954
carriage,115,0.0195954
across,115,0.0195954
remember,115,0.0195954
lips,114,0.0194251
ball,114,0.0194251
ordered,114,0.0194251
rya,114,0.0194251
Having,114,0.0194251
study,113,0.0192547
fear,113,0.0192547
Balash,112,0.0190843
drew,112,0.0190843
window,112,0.0190843
feet,112,0.0190843
human,111,0.0189139
led,111,0.0189139
showed,110,0.0187435
freedom,110,0.0187435
year,110,0.0187435
activity,109,0.0185731
country,109,0.0185731
making,108,0.0184027
need,108,0.0184027
rest,108,0.0184027
Borodin,108,0.0184027
d,108,0.0184027
show,108,0.0184027
child,108,0.0184027
angry,108,0.0184027
ground,108,0.0184027
whose,108,0.0184027
giving,107,0.0182323
meet,107,0.0182323
